id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48808946,ROOFTOP DECK w/VIEWS OF CITY 4BR/4BA BRAND NEW!,393737189,Dyan,,District 19,36.17305,-86.79706,Entire home/apt,417,1,8,2021-09-19,1.83,3,341,8,
48813002,Sobro Chill Pad!,63383385,Obed,,District 19,36.15414,-86.7746,Entire home/apt,154,1,54,2021-10-08,9.31,1,78,54,
48822688,Burnham 359 Broadway Lights!!  Downtown Nashville!,54803983,Seth,,District 19,36.15548,-86.77579,Entire home/apt,211,1,62,2021-10-12,8.82,2,104,62,
48826258,Walkable Downtown on Historic Ave Of The Arts 25,103365676,Amanda,,District 19,36.1647,-86.78201,Entire home/apt,476,1,45,2021-10-17,6.65,56,0,45,
48827922,Wyndham Nashville Resort (2 Bedroom 2 Bath Condo),100238132,Michael,,District 15,36.22106,-86.70598,Entire home/apt,188,3,3,2021-07-05,0.43,14,35,3,
48828119,Wyndham Nashville Resort (2 Bedroom 2 Bath),100238132,Michael,,District 15,36.21954,-86.70537,Entire home/apt,188,3,1,2021-03-31,0.15,14,35,1,
48828307,Wyndham Nashville Resort (2 Bedroom 2 Bath Condo),100238132,Michael,,District 15,36.22091,-86.70376,Entire home/apt,188,3,5,2021-07-26,0.73,14,35,5,
48828765,The Shelton,244757718,Joe,,District 5,36.20053,-86.75617,Entire home/apt,307,2,20,2021-10-19,3.21,1,120,20,
48830314,Historic Home: 7 Beds & Outdoor Space in Nashville,379189746,Ryan,,District 6,36.16873,-86.75365,Entire home/apt,256,1,40,2021-10-14,5.71,7,96,40,
48831169,Studio in Central Nashville w/Patio & Lawn,393900215,Alex,,District 15,36.16667,-86.68791,Entire home/apt,69,2,16,2021-10-18,3.10,1,112,16,
48831775,"NEW! Nashville Home, Walk to Shops, 4 Mi to Dtwn!",121235121,Evolve,,District 20,36.15481,-86.84605,Entire home/apt,248,2,5,2021-09-12,5,24,0,5,
48832085,*NEW* 3-Story Modern Home with Private ROOFTOP,25287090,Chase,,District 8,36.24152,-86.73795,Entire home/apt,257,2,6,2021-10-17,5.29,1,96,6,
48833905,Stylish Flat in Historic Woolworth Walk to Broadway 24,103365676,Amanda,,District 19,36.16453,-86.78135,Entire home/apt,426,1,34,2021-10-10,6.34,56,319,34,
48842066,Walk to downtown action from your private condo,137485517,Jennifer,,District 19,36.16497,-86.77863,Entire home/apt,1079,2,12,2021-10-17,2.26,3,219,12,
48852941,Awesome 4 bed / 2 bath split level home with game room and fire pit!,21736973,CousinsBNB,,District 14,36.15427,-86.64402,Entire home/apt,286,2,12,2021-09-18,1.76,9,261,12,
48853740,Zen Out in the the Gulch/Downtown - 1bed1bath,363524491,Adam,,District 19,36.1521,-86.78248,Entire home/apt,244,3,11,2021-09-25,1.59,5,352,11,
48856506,Landing | Modern Apartment with Amazing Amenities (ID1881),263502162,Landing,,District 25,36.10427,-86.81392,Entire home/apt,166,30,0,,,7,344,0,
48864579,Dream at Lyric Nashville / Rooftop Paradise,339829488,Jesse,,District 5,36.2014,-86.7541,Entire home/apt,409,3,15,2021-10-11,3.08,2,163,15,
48864936,Green Hills Gatsby,206465049,Annette,,District 25,36.11711,-86.82628,Entire home/apt,999,4,7,2021-09-29,1.46,1,83,7,
48865436,Designer Home with Downtown Dreamy Rooftop Views 12 Beds,43800255,John,,District 21,36.1556,-86.81625,Entire home/apt,658,1,16,2021-10-19,2.30,28,347,16,
48865689,2bed/2bath Condo in the Gulch - a Premier Location,363524491,Adam,,District 19,36.15359,-86.78195,Entire home/apt,375,3,15,2021-09-27,2.16,5,329,15,
48867989,Spectacular Downtown Views in This Brand New Professionally Designed Nashville Home 12 Beds,43800255,John,,District 21,36.15727,-86.81735,Entire home/apt,681,1,7,2021-09-18,1.00,28,307,7,
48870923,2 Massive Professionally Designed New Nashville Homes With Views Expansive Skyline Views 24 Beds,43800255,John,,District 21,36.15543,-86.81578,Entire home/apt,1066,1,12,2021-10-10,2.38,28,304,12,
48871330,Vibrant Modern Studio within 2 miles of Downtown!,125774929,Shawn,,District 17,36.12604,-86.77923,Entire home/apt,105,2,54,2021-10-12,31.15,2,230,54,
48871940,Downtown Nashville Condo by Bridgestone Arena.,388355028,Montrel,,District 19,36.15579,-86.77504,Entire home/apt,149,3,26,2021-10-19,6.24,2,203,26,
48873110,"Walk to Broadway, 2 bdr apt, balcony city views!",392256031,Lindsey,,District 19,36.15568,-86.77692,Entire home/apt,385,2,25,2021-10-14,3.71,2,131,25,
48883208,Nashville Skyline Views With Designer Taste Large New Home Minutes from DT with 12 Beds,43800255,John,,District 21,36.15697,-86.81566,Entire home/apt,681,1,8,2021-09-06,1.15,28,307,8,
48883607,Spacious& Clean 2BR just 5 min drive from Broadway,7798378,Alex,,District 19,36.16509,-86.80149,Entire home/apt,69,1,28,2021-09-30,4.12,13,251,28,
48883782,Stylish hotel room in the Music city with a Pub!,380927421,Hillside,,District 15,36.13682,-86.72442,Private room,94,1,55,2021-10-04,8.97,28,174,55,
48885026,4BR/4BA Rooftop Deck 1 Mile to Downtown,393737189,Dyan,,District 19,36.17195,-86.79705,Entire home/apt,408,2,9,2021-10-03,1.86,3,344,9,
48888907,Stylish West End Area Condo w/ Golf Course View,35490428,Denise,,District 24,36.13838,-86.84262,Entire home/apt,150,30,1,2021-05-27,0.20,1,294,1,
48894934,Burnham 262 Hop Skip and Jump to Broadway!!!,54803983,Seth,,District 19,36.15539,-86.77426,Entire home/apt,203,1,51,2021-10-03,10.63,2,250,51,
48905636,New! Minutes to Broadway w/ Skyline Views!!,252067593,Jake,,District 2,36.1963,-86.77634,Entire home/apt,356,2,2,2021-10-17,2,1,158,2,
48905681,❤️BRAND NEW Downtown Nashville Prime Location!!!,163257380,Amber,,District 19,36.15595,-86.77445,Entire home/apt,145,1,45,2021-10-06,6.89,1,23,45,
48914735,2Queen/1Twin Bed Suite Downtown w/ Free Parking🔥,394533924,Ace Vacation Homes,,District 19,36.15518,-86.77571,Entire home/apt,325,1,17,2021-10-20,15.00,1,167,17,
48920374,Skyline Stunner ★ Hot Tub ★ Roof Top Deck ★ 5 beds,285748255,Allie,,District 5,36.19636,-86.77338,Entire home/apt,487,2,29,2021-10-17,4.81,6,109,29,
48922959,Luxury Townhome Skyline Views Mins To Downtown,101769523,Jenny & Henry,,District 21,36.1552,-86.82128,Entire home/apt,500,3,15,2021-10-03,2.39,3,358,15,
