id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23676283,Christopher's House,153176974,Camille,,District 29,36.07315,-86.62576,Entire home/apt,185,2,78,2021-04-18,2.07,1,298
23676893,Historic Estate - Lipscomb_12South_Pics Coming,21896763,Lauren & Tyler,,District 25,36.1031,-86.79395,Entire home/apt,332,3,20,2019-10-20,0.55,2,0
23685798,**1BR Apt by Vanderbilt on Music Row! #106,49521731,Ashley,,District 17,36.13928,-86.79603,Entire home/apt,90,2,120,2021-02-14,3.19,20,139
23686446,Cleveland Park Charmer,142776,Spencer,,District 5,36.19079,-86.75985,Entire home/apt,77,31,7,2021-03-15,0.23,3,309
23698513,The Madside Beauty!!!!,96320848,Courtney And David,,District 9,36.25299,-86.68969,Entire home/apt,100,1,71,2021-03-29,1.94,1,42
23709849,Sunny Modern Oasis ☀️ Downtown Spacious Luxury Home,21015944,Joe,,District 19,36.14391,-86.78871,Entire home/apt,720,3,86,2021-04-18,2.40,1,299
23714996,Cozy Boho House Close to Downtown,72962740,Taylor,,District 19,36.18238,-86.79522,Entire home/apt,196,1,58,2021-04-03,1.81,1,140
23715926,Studio Guest Room B,114506552,William,,District 19,36.15485,-86.7723,Private room,65,1,100,2020-07-24,2.65,3,349
23717357,Nashville City Views (Downtown),43224485,Brody,,District 19,36.15543,-86.77579,Entire home/apt,119,2,23,2020-03-18,0.97,1,0
23721483,Historic Music Row Apt Owned by the Haggard's!,60934272,Travers,,District 19,36.14505,-86.79339,Entire home/apt,162,1,121,2021-03-23,3.23,25,230
23732589,Apt in Hillsboro Village by Vandy! #105,49521731,Ashley,,District 17,36.1389,-86.79485,Entire home/apt,91,2,148,2021-03-27,3.92,20,116
23747597,Private Apt w/Modern Charm in West Nash~8 mi⇢Dwtn,21470668,Kaitlyn,,District 20,36.15303,-86.87989,Entire home/apt,84,3,39,2019-11-11,1.15,1,0
23752202,Walk to Restaurants from a Charming Victorian Suite,178130346,Sonya,,District 19,36.17756,-86.79131,Entire home/apt,143,3,76,2021-04-04,2.08,1,128
23754741,Charming 3BR 2BA with Yard near downtown,9805687,Brent,,District 16,36.10811,-86.734,Entire home/apt,113,2,103,2021-04-02,2.73,8,290
23759002,Downtown Nashville loft,92789804,Barbara Lee,,District 19,36.16516,-86.77988,Shared room,350,1,0,,,1,0
23765668,Southern State of Mind - Easy Access to Downtown!,85360355,StayLocal,,District 30,36.07409,-86.7174,Entire home/apt,173,1,59,2021-02-23,1.57,76,333
23768667,"Music City Escape! Mins to Downtown, Retro Condo!",178293796,Studio I,,District 17,36.12666,-86.77852,Entire home/apt,93,1,83,2021-04-05,2.23,4,110
23806420,NASHVILLE SKYLINE ROOFTOP TOWNHOME,153919195,Dyer Management,,District 17,36.1446,-86.7844,Entire home/apt,874,2,63,2020-08-02,1.71,17,314
23815812,Basement apartment 10 min from downtown,67874596,Miss,,District 8,36.21311,-86.75077,Private room,50,1,0,,,1,0
23822414,"Entire Guest Suite, Queen Bed, Private Entrance",21327585,Brian & Kristi,,District 7,36.23314,-86.71702,Entire home/apt,80,2,146,2020-11-15,4.24,1,160
23824127,The Houston Flat - Monthly Furnished Rental!,85360355,StayLocal,,District 17,36.13908,-86.77041,Entire home/apt,75,31,6,2021-04-16,0.18,76,243
23824968,Private Entrance near Airport in Safe neighborhood,31621351,Lindsay,,District 14,36.1803,-86.64741,Private room,61,1,337,2021-03-24,9.03,1,1
23825123,BRAND NEW HOME ★ HUGE ROOFTOP ★ LARGE 4BR,101426897,Host Extraordinaires,,District 5,36.19493,-86.76637,Entire home/apt,318,2,85,2021-04-05,2.27,147,300
23850251,Village AirBNB...hospitality to rest and recharge,71572989,Karen,,District 27,36.04817,-86.73624,Private room,45,1,74,2020-03-16,2.45,1,48
23858968,Fun home in Nashville with 6 beds and 3 1/2 baths!,176258056,Kevin,,District 20,36.16261,-86.86118,Entire home/apt,275,365,48,2020-03-15,1.28,1,0
23859974,Minutes to Downtown & Five Points + Roku & Bidet,17502774,Alex,,District 6,36.1647,-86.74629,Entire home/apt,95,2,212,2021-04-07,5.62,2,148
23870707,"Private, New East Nashville Carriage House near Five Points",29387114,Claudia,,District 6,36.18083,-86.74369,Entire home/apt,119,2,146,2021-01-03,3.92,1,109
23872834,32 Hey Y'all Downtown Nashville WALK TO IT ALL!,28196034,Hey Yall Nashville,,District 19,36.16352,-86.78249,Entire home/apt,293,2,164,2021-02-28,4.62,20,129
23872880,54 Hey Yall Downtown Nashville WALK TO IT ALL!,28196034,Hey Yall Nashville,,District 19,36.16367,-86.78275,Entire home/apt,145,2,155,2021-03-21,4.26,20,96
23874740,Charming Victorian Home in East Nashville,43093947,Rachel,,District 5,36.19226,-86.76244,Entire home/apt,235,2,27,2021-03-28,0.77,1,63
23880926,The Alley Cat,167822237,Mark,,District 6,36.18309,-86.7461,Entire home/apt,85,2,58,2021-04-20,4.03,1,115
23897595,Minutes to Downtown | Pool,178293796,Studio I,,District 17,36.1264,-86.77857,Entire home/apt,94,2,89,2021-04-13,2.39,4,0
23921618,Downtown Loft at the Heart of Music City!!,179811696,Emmy,,District 19,36.16483,-86.78179,Entire home/apt,173,3,49,2021-04-04,1.32,6,91
23955048,The Perch,36806526,Jen,,District 16,36.10432,-86.73764,Entire home/apt,99,2,12,2019-10-08,0.32,2,19
23955586,Freshly Renovated Artist Condo and Pool Minutes to Downtown,133757060,Zac,,District 17,36.12706,-86.7778,Entire home/apt,100,1,268,2020-11-22,7.15,6,224
23962122,UPSCALE Pad w/Rooftop Deck + 1.5 Miles to Downtown,180188884,Steph,,District 17,36.14524,-86.78404,Entire home/apt,608,1,115,2020-09-22,3.12,1,145
23975379,Business Lofts blocks from Broadway!,179811696,Emmy,,District 19,36.16349,-86.78025,Entire home/apt,197,2,74,2021-04-14,1.98,6,85
23980569,Apt by Vanderbilt -walk to dining! #301,49521731,Ashley,,District 17,36.13928,-86.79603,Entire home/apt,106,2,96,2021-04-07,2.60,20,0
