id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41215387,Beautiful 1BR Blocks from Broadway- POOL OPEN !!,149105487,Justin,,District 19,36.15521,-86.77611,Entire home/apt,166,1,45,2021-05-31,27.00,5,52
41225417,Luxury 1 BR Blocks from Broadway/Gulch/Music row,149105487,Justin,,District 19,36.15602,-86.77636,Entire home/apt,165,1,57,2021-06-12,5.03,5,36
41229573,2 Bedroom Condo for SEC Men's Basketball,294165727,Rebecca,,District 15,36.21906,-86.70365,Entire home/apt,198,3,0,,,1,0
41232163,Cozy luxury private one bedroom with own full bath,202435770,John,,District 19,36.17184,-86.79683,Private room,39,30,6,2021-05-31,0.42,4,294
41235401,The Felicia - Monthly Furnished Rental!,85360355,StayLocal,,District 21,36.15429,-86.8262,Entire home/apt,77,31,1,2020-04-05,0.07,76,180
41262345,Quiet Private Apartment near Riverside Village,1673745,Georgia,,District 7,36.19485,-86.71458,Entire home/apt,99,2,16,2021-06-19,0.95,1,180
41262836,ULTRA GULCH DOWNTOWN VIEWS ROOFTOP TONS OF BEDS!,115505661,Chris,,District 17,36.14436,-86.78524,Entire home/apt,330,2,34,2021-05-28,2.05,68,290
41264587,LARGE MARVELOUS TOWNHOME ★ DOWNTOWN LOCATION,101426897,Host Extraordinaires,,District 17,36.14135,-86.76842,Entire home/apt,333,2,30,2021-05-24,1.84,142,320
41268083,Master bedroom/ en suite,31306951,Jessica,,District 33,36.04437,-86.59372,Private room,29,31,1,2021-05-15,0.68,3,345
41307887,Entire Townhouse/Villa at Bell,324538399,Mokhtar,,District 31,36.04686,-86.67806,Entire home/apt,80,31,3,2021-06-01,0.22,1,273
41348331,NASHVILLE RIVERVIEW ROOM! Hot Tub - 30 Day Minimum,25430263,Danny,,District 20,36.13902,-86.89437,Private room,53,30,2,2020-09-26,0.12,7,330
41348914,Instagrammer’s Dream Home. 2 miles to Broadway!!,204571824,Hilary,,District 19,36.1722,-86.79795,Entire home/apt,458,2,26,2021-06-17,1.58,2,208
41353373,"Quaint home 10 minutes from downtown, BNA & Opry!",98995022,Elisha,,District 16,36.11139,-86.72883,Entire home/apt,248,2,53,2021-06-21,3.11,1,38
41359685,A cozy place to stay for your stop in Nashville,161635933,Aimee,,District 12,36.1803,-86.59676,Private room,62,1,5,2021-06-20,0.28,1,71
41374037,Nashville’s Original Bachelorette House,154341578,Alexis,,District 21,36.17168,-86.80921,Entire home/apt,588,3,42,2021-06-20,2.69,1,107
41377032,Champagne Getaway - East Nashville Luxury Vacation,30962240,Xenos,,District 6,36.16758,-86.73629,Entire home/apt,557,2,4,2021-06-13,0.32,16,212
41396145,The Russell House in 5 Points - WALK TO EVRYTHNG!,15586733,Neal,,District 6,36.17665,-86.75301,Entire home/apt,142,2,48,2021-06-11,6.89,17,122
41404907,Quiet Nashville retreat close to the airport,325661225,Kelley,,District 29,36.07713,-86.63171,Private room,50,30,16,2020-03-18,0.91,1,145
41404926,Illume | Unique Gulch View Retreat | Pool Views,106505883,TurnKey Vacation Rentals,,District 19,36.14712,-86.78095,Entire home/apt,93,2,11,2021-06-13,1.07,116,309
41421764,The Wells *NEW Spacious Townhome Near Downtown* #A,312585112,Nash,,District 17,36.11992,-86.76593,Entire home/apt,198,2,15,2021-06-21,0.89,21,334
41426180,Stay Awhile - Your Nashville Retreat,165424182,Shannon,,District 13,36.13814,-86.6312,Entire home/apt,207,30,10,2021-05-27,0.61,2,89
41432886,2 Music Themed Townhouses | 1 Mile to Broadway,303894881,Music City Vacation Homes,,District 17,36.14351,-86.76254,Entire home/apt,886,2,7,2021-06-20,0.67,27,288
41433098,2 Chic Townhouses in WeHo | Minutes from Broadway,303894881,Music City Vacation Homes,,District 17,36.14339,-86.76252,Entire home/apt,886,2,13,2021-06-20,0.82,27,299
41433284,2 Jazz Music Themed Townhomes | 10 Min to Downtown,303894881,Music City Vacation Homes,,District 17,36.142,-86.76081,Entire home/apt,829,2,4,2020-11-27,0.25,27,338
41433796,The Split Nashville  8 mins to downtown,270267112,Yohance,,District 8,36.22926,-86.74072,Entire home/apt,264,2,26,2021-06-20,1.57,1,98
41434626,"2nd floor, end unit in ALLOY Building 30 day min",127444298,Liz,,District 17,36.13632,-86.75742,Entire home/apt,75,30,2,2021-01-22,0.27,4,93
41455619,The Brook Cottage - Close to Downtown!,85360355,StayLocal,,District 6,36.18416,-86.71987,Entire home/apt,160,1,22,2021-06-06,1.33,76,271
41458174,Casa de George I,16836467,Aly,,District 13,36.13512,-86.63671,Entire home/apt,175,30,2,2020-09-13,0.17,3,107
41458841,Music Inspired Wedgewood-Houston Double Townhome,303894881,Music City Vacation Homes,,District 17,36.14302,-86.76141,Entire home/apt,829,2,9,2021-04-25,0.71,27,304
41471566,Rooftop/Fun Gameroom-Sleeps 12-Gulch/12th South,70801117,Harley,,District 17,36.13895,-86.78848,Entire home/apt,556,2,45,2021-06-20,2.65,4,321
41479332,Illume | Sleek Condo in New Community | City Views,106505883,TurnKey Vacation Rentals,,District 19,36.14712,-86.78095,Entire home/apt,112,2,7,2021-03-21,0.43,116,298
41479588,"Music City coziest basement 
near Airport/Downtown",208273189,Pamela,,District 14,36.19472,-86.633,Private room,125,1,37,2020-08-16,2.98,1,227
41482843,Bachelor(ette) ★Near Broadway★ Skyline Views +8bds,72156,Adam,,District 19,36.17228,-86.79626,Entire home/apt,419,2,29,2021-04-04,1.86,7,243
41495856,"History, Nightlife & Lux on Walkable Music Row",88588850,Sarah With SOHO,,District 19,36.15158,-86.79249,Entire home/apt,143,3,47,2021-06-10,2.73,3,18
41499507,Modern East Nash Private Suite - Huge Yard 4 Pets,39937447,Charley,,District 5,36.1838,-86.76377,Private room,191,1,58,2021-06-13,3.60,1,143
41502880,Near Opry & Convention Center - 2BR Suite,17920027,Matthew,,District 13,36.11435,-86.70099,Entire home/apt,99,5,1,2020-02-28,0.06,1,0
41503770,Downtown Nashville 1 BR 1 Bath Sleeps 4!,218518562,Anna Kate,,District 19,36.15455,-86.77563,Entire home/apt,196,2,46,2021-06-20,3.87,2,138
41526877,2 Townhomes Sleep Up to 16 | 1 Mile to Broadway,303894881,Music City Vacation Homes,,District 17,36.14297,-86.76111,Entire home/apt,829,2,5,2021-06-20,0.38,27,319
41527166,3 Townhomes Sleep up to 30 | 10 Min to Downtown,303894881,Music City Vacation Homes,,District 17,36.14228,-86.76244,Entire home/apt,1071,2,2,2021-05-08,0.34,27,287
41527235,BEAUTIFUL LUXURY TOWNHOME ★ VERY CLOSE TO BROADWAY,101426897,Host Extraordinaires,,District 2,36.18746,-86.81394,Entire home/apt,230,2,34,2021-06-20,2.00,142,297
41529749,Chic Townhomes Sleep up to 28 in Wedgewood-Houston,303894881,Music City Vacation Homes,,District 17,36.14294,-86.76131,Entire home/apt,1114,2,0,,,27,278
41530576,Jazz Inspired Townhomes Sleep up to 32 in WeHo,303894881,Music City Vacation Homes,,District 17,36.14205,-86.76207,Entire home/apt,1771,2,1,2021-06-05,1,27,310
41530985,Stylish Townhomes Sleep up to 38 in WeHo,303894881,Music City Vacation Homes,,District 17,36.14171,-86.76101,Entire home/apt,1771,2,1,2021-03-21,0.32,27,304
