id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4169295,Belmont 12th South DREAM HOUSE: Top rated home,2275056,Debbie And Glenn,,District 18,36.12465,-86.79689,Entire home/apt,1195,2,76,2021-06-20,1.08,6,299
4170603,8th Ave. Near 12 South and Downtown,16831211,Chris,,District 17,36.12609,-86.77792,Entire home/apt,80,3,291,2021-07-01,12.14,1,217
4178988,Award Winning Private Cottage NASHVILLE,9551442,Debra,,District 6,36.1748,-86.73808,Entire home/apt,108,1,623,2021-07-11,15.48,6,210
4197716,Scandinavian Style Apartment in Heart of East Nashville,12122804,Cass And Martin,,District 6,36.18111,-86.73229,Entire home/apt,132,1,526,2021-06-18,7.55,2,162
4227049,East Nashville Victorian Home,7153613,Tammi,,District 6,36.18729,-86.73623,Entire home/apt,325,2,65,2019-10-20,1.40,1,13
4252199,Big & Cozy East Nashville Retreat,22066344,Katie,,District 5,36.18327,-86.75205,Entire home/apt,357,2,341,2021-06-27,4.22,5,194
4266652,Stylish Condo Centrally Located,22149003,A.,,District 26,36.08643,-86.73305,Private room,68,2,21,2018-11-18,0.32,1,0
4275484,PERFECT Location ★ 3 BR/2 BA ★ 1.5 mi to Broadway,22196890,Donald,,District 17,36.13807,-86.76732,Entire home/apt,264,2,243,2021-04-25,3.29,1,306
4278005,"""Plan B"" Guest Suite",21259075,Jessica,,District 24,36.1484,-86.84671,Entire home/apt,45,30,106,2021-02-27,1.46,1,0
4278864,Heart of East Nashville,21984552,Helen Gaye And Earl,,District 6,36.17296,-86.75134,Private room,97,2,401,2020-03-14,5.02,1,2
4302855,The Commodore - 3 Bedrooms ON the Vanderbilt Campus!,6675690,Isabeau And Shaun,,District 18,36.13751,-86.81267,Entire home/apt,296,2,117,2021-06-13,2.71,65,340
4302984,Awesome Musician-friendly room!,22335489,Jan-Erik Börje,,District 16,36.11888,-86.73169,Private room,100,1,0,,,1,364
