id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14022019,"The ""Getaway"" in East Nashville - 30 Days+",9652600,Lisa,,District 7,36.2209,-86.71734,Entire home/apt,89,30,334,2021-08-14,6.44,1,144,77,
14022887,"Spacious, Clean 4BR Home near Downtown Nashville",83907444,Emily,,District 19,36.17118,-86.79142,Entire home/apt,586,1,5,2018-07-22,0.08,1,303,0,
14054945,"Modern Condo w/Free Yoga, Close to Downtown!",14657565,Daphne,,District 24,36.13567,-86.82419,Entire home/apt,95,30,220,2021-07-14,4.20,3,246,3,
14057925,★ Super Location ★ Walk to Coffee/Bars/Shops ★ 10 min to Downtown★,34294548,Malia,,District 7,36.20134,-86.72536,Entire home/apt,173,2,110,2021-08-15,2.26,1,318,18,
14066922,Stylish Midcentury Gamehouse in East Nashville,2130780,Lee Beth,,District 6,36.17802,-86.72336,Entire home/apt,225,2,61,2021-08-05,2.18,1,10,37,
14075505,Nashville-Travelling Nurses & Business Travelers 1,76046195,Mari,,District 11,36.26525,-86.65006,Entire home/apt,78,30,85,2021-07-25,1.73,2,286,3,
14088893,4BR from Thomas Rhett Video✦Patio/Deck/Fenced yard,8008453,Alyssa,,District 8,36.20854,-86.73848,Entire home/apt,272,2,70,2021-07-25,1.23,3,324,36,
14101278,Renovated 1930s Tudor Home from Thomas Rhett Video,8008453,Alyssa,,District 8,36.20851,-86.73983,Entire home/apt,670,2,179,2021-06-14,6.99,3,323,1,
14153973,Downtown Townhouse for Six! STRP#2016034060,67271370,Carol,,District 19,36.15046,-86.76673,Entire home/apt,246,2,159,2021-08-09,2.94,1,203,21,
14217334,The Hummingbird Retreat - Walkable to 12 South!,85360355,StayLocal,,District 18,36.12812,-86.79117,Entire home/apt,186,1,137,2021-07-25,2.29,77,302,38,
14220743,"Great House Sleeps 10, Super Close to Downtown",19451333,Narum,,District 20,36.1436,-86.88483,Entire home/apt,251,3,37,2021-07-31,0.89,4,61,1,
14221473,Mins to Downtown Nashville ❤️ 2 King Beds ❤️ Dog-Friendly,24637373,Megan,,District 5,36.1836,-86.75032,Entire home/apt,185,1,222,2021-08-15,4.09,6,318,31,
14222547,Shelby Suite,8794870,Frank,,District 6,36.17045,-86.75549,Entire home/apt,150,3,175,2021-08-09,3.35,2,36,10,
14247497,Cute cottage near downtown/park,43542241,Ashley,,District 6,36.16848,-86.7426,Entire home/apt,225,1,119,2021-08-15,3.44,1,339,31,
14276063,Nashville's Green Hills Oasis,87064351,Tom And Anne,,District 25,36.11658,-86.80444,Private room,94,2,63,2021-08-16,2.17,1,261,10,
14297070,Gorgeous 12 South Studio! Perfect for Couples,9441604,Brittany,,District 17,36.12999,-86.78498,Entire home/apt,245,2,38,2021-08-20,0.64,1,29,4,
14315553,Wayside Cottage (East Nashville),42979311,Michelle & John,,District 7,36.19446,-86.70512,Entire home/apt,100,2,272,2021-08-16,5.61,1,103,38,
14318833,Private 2BR Suite near Downtown,7961115,Blake,,District 19,36.17989,-86.79218,Private room,70,2,100,2021-08-04,2.96,2,103,10,
14335062,12S -  Funky 'Ol Beach House/Best Locale/Quiet/Hip,87763514,Karen,,District 18,36.12399,-86.7922,Entire home/apt,175,2,85,2021-08-09,2.80,1,99,9,
14344535,2 bedrooms friendly apartment,46931571,Saleh,,District 20,36.14546,-86.87118,Entire home/apt,80,2,1,2016-08-15,0.02,1,0,0,
14376234,Urban Modern 3 BR in 12 South Nashville,39861993,Tony & Katherine,,District 17,36.11732,-86.78994,Entire home/apt,204,1,308,2021-08-15,5.09,4,57,47,
14385230,The Oak Leaf Cottage - Minutes from Everything,2342488,Austin & Amanda,,District 16,36.09884,-86.74471,Entire home/apt,152,2,293,2021-08-19,6.27,1,193,64,
14389733,TREETOP LOFT Romantic Retreat,12706120,Bryce,,District 16,36.10395,-86.73062,Entire home/apt,106,1,598,2021-08-09,11.37,1,34,148,
14412382,Perfect Getaway In Awesome East Nashville,33841168,Candace,,District 6,36.18423,-86.73322,Entire home/apt,150,30,165,2021-05-31,2.78,1,299,1,
14417382,Walk to Music Row Venues from a Stylish Boutique Loft,46072770,Paul + Morgan,,District 19,36.14659,-86.78986,Entire home/apt,122,1,336,2021-08-20,8.00,1,255,76,
14419919,Gorgeous 12 South Modern Farmhouse,4448719,SHO Holdings,,District 17,36.12711,-86.7835,Entire home/apt,745,3,41,2021-08-01,0.69,1,252,9,
14421986,Sugar Maple East Renovated Historic East Nashville,169398278,Katie,,District 6,36.18871,-86.73205,Entire home/apt,289,3,50,2020-03-09,1.17,1,48,0,
14424170,Location. Location. & you will feel at home here.,88761042,Clark,,District 25,36.0901,-86.80122,Entire home/apt,345,3,119,2021-08-02,1.99,1,338,14,
14429190,Great 1 bedroom apartment in Downtown/Midtown,88726322,Brittany,,District 19,36.16163,-86.78953,Entire home/apt,200,1,10,2021-01-23,0.19,1,0,1,
14478186,Hayes Guest House #8,7894194,Heirbnb,,District 21,36.1511,-86.80515,Entire home/apt,96,1,397,2021-08-01,18.55,18,322,68,
14487681,Nashvegas getaway/ hot tub/ 6 miles to downtown,23834026,Darlene,,District 20,36.15246,-86.87215,Entire home/apt,209,2,141,2021-07-30,2.34,1,86,38,
14503480,The Gibson - East Nash / 5 Minutes to Downtown!,85360355,StayLocal,,District 5,36.19405,-86.75609,Entire home/apt,264,1,103,2021-07-26,3.49,77,313,6,
14517297,The Gingerbread House - Location & Charm,32237012,Jake & Allison,,District 24,36.12029,-86.84174,Entire home/apt,264,2,92,2021-08-16,1.78,1,321,23,
14522963,Explore Music Row at a Charming '20s Bungalow in 12 South,2012989,Tim & Suzy,,District 18,36.12501,-86.79241,Entire home/apt,321,2,212,2021-08-04,3.58,3,228,44,
14534800,Welcome to the River House,89895046,Graciela,,District 15,36.23665,-86.71175,Entire home/apt,198,1,106,2021-08-15,2.12,1,187,30,
