Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"3206 Leawood Dr, Nashville, TN 37218","$207,500",3,1,972,Sold 12/17/2021
"2311 Ilolo St, Nashville, TN 37207","$539,900",3,3,"1,936",Sold 12/17/2021
,,,,,
"3068 Chateau Valley Dr, Nashville, TN 37207","$329,083",3,2,"1,354",Sold 12/17/2021
"2561 Jordan Ridge Dr, Nashville, TN 37218","$455,490",4,3,"3,539",Sold 12/17/2021
"3332 Hospital Ln, Nashville, TN 37218","$297,230",3,1,"1,036",Sold 12/17/2021
"3108 Curtis St #B, Nashville, TN 37218","$640,500",4,4,"2,233",Sold 12/16/2021
"2109 23rd Ave N #C, Nashville, TN 37208","$565,000",3,4,"2,236",Sold 12/16/2021
"970 Youngs Ln #I, Nashville, TN 37207","$730,000",4,4,"1,772",Sold 12/16/2021
"3245 Masonwood Dr, Nashville, TN 37207","$344,900",3,2,"1,375",Sold 12/16/2021
"2008 Ashton Ave, Nashville, TN 37218","$394,999",3,2,"1,415",Sold 11/30/2021
"101 Gupton Ct, Nashville, TN 37218","$440,000",4,4,"3,634",Sold 11/30/2021
"963 Ashland Place Dr, Nashville, TN 37218","$314,150",3,3,"1,482",Sold 11/30/2021
"1719 7th Ave N, Nashville, TN 37208","$765,000",3,4,"2,448",Sold 11/30/2021
"2137 24th Ave N, Nashville, TN 37208","$600,000",4,5,"1,837",Sold 11/29/2021
"315 Garfield St, Nashville, TN 37208","$859,000",3,4,"2,046",Sold 11/29/2021
"424 Kingview Ct, Nashville, TN 37218","$190,000",4,2,"1,508",Sold 11/27/2021
"1103-1103A Cecilia Ave, Nashville, TN 37208","$490,000",3,3,"1,787",Sold 11/24/2021
"2656 Thornton Grove Blvd, Nashville, TN 37207","$359,520",3,2,"1,336",Sold 11/24/2021
"2131 24th Ave N #4, Nashville, TN 37208","$612,000",4,4,"1,898",Sold 11/17/2021
"2131 24th Ave N #3, Nashville, TN 37208","$602,000",4,4,"1,828",Sold 11/17/2021
"2637 Thornton Grove Blvd, Nashville, TN 37207","$393,355",3,2,"1,533",Sold 11/17/2021
"2131 24th Ave N #2, Nashville, TN 37208","$612,000",4,4,"1,898",Sold 11/17/2021
"3187 Bridgepoint Dr, Nashville, TN 37207","$400,000",4,3,"3,011",Sold 11/17/2021
"961 Ashland Place Dr, Nashville, TN 37218","$265,000",2,3,"1,123",Sold 11/17/2021
"3210 Dove Pl, Nashville, TN 37218","$270,000",5,2,"2,004",Sold 11/17/2021
"1724-1724B 4th Ave N, Nashville, TN 37208","$750,000",3,3,"2,024",Sold 11/16/2021
"588 Green Ln, Whites Creek, TN 37189","$400,000",3,3,"2,127",Sold 11/16/2021
"2935 Winterberry Dr #25, Nashville, TN 37207","$264,870",3,3,"1,220",Sold 11/01/2021
"1325 5th Ave N #15, Nashville, TN 37208","$375,000",2,1,816,Sold 11/01/2021
"517 Haynes St, Nashville, TN 37207","$265,000",3,1,984,Sold 11/01/2021
"1529 Constitution Ave, Nashville, TN 37207","$425,000",3,3,"2,178",Sold 10/31/2021
"4643 Clarksville Pike, Nashville, TN 37218","$800,000",4,2,"2,078",Sold 10/29/2021
"1726 16th Ave N, Nashville, TN 37208","$494,670",4,3,"2,069",Sold 10/29/2021
"3331 Panorama Dr, Nashville, TN 37218","$289,900",3,2,"1,550",Sold 10/29/2021
"2413 Whites Creek Pike, Nashville, TN 37207","$151,500",2,1,675,Sold 10/28/2021
"3837 Lunn Dr, Nashville, TN 37218","$400,000",5,3,"2,486",Sold 10/27/2021
"2304 Seifried St, Nashville, TN 37208","$175,000",4,2,"2,040",Sold 10/14/2021
"1705-1705B Cass St, Nashville, TN 37208","$549,900",4,3,"2,227",Sold 10/13/2021
"921-921A Youngs Ln, Nashville, TN 37207","$630,375",3,3,"2,188",Sold 10/13/2021
"406 Taylor St, Nashville, TN 37208","$675,000",1,2,"1,236",Sold 10/12/2021
"2208 24th Ave N #A, Nashville, TN 37208","$475,000",4,3,"2,051",Sold 10/12/2021
"3813 Boatner Dr, Nashville, TN 37207","$319,000",4,2,"1,350",Sold 10/12/2021
"3938 Lunn Dr LOT 36, Nashville, TN 37218","$311,150",3,2,"1,725",Sold 10/09/2021
"2629 Coffenberry Ln LOT 143, Nashville, TN 37207","$368,475",5,3,"2,203",Sold 10/08/2021
"1710-1710A Nassau St, Nashville, TN 37208","$670,000",4,3,"2,220",Sold 10/08/2021
"1202 Jennings St, Nashville, TN 37208","$329,000",2,1,852,Sold 09/30/2021
"509 Dyne Ct, Nashville, TN 37207","$190,000",3,1,"1,025",Sold 09/30/2021
"512 Dyne Ct, Nashville, TN 37207","$180,000",3,1,"1,025",Sold 09/30/2021
"500 Parmley Dr, Nashville, TN 37207","$420,000",3,3,"1,998",Sold 09/30/2021
"4364 Ashland City Hwy, Nashville, TN 37218","$420,000",3,3,"2,202",Sold 09/29/2021
"2002-2002A 14th Ave N, Nashville, TN 37208","$560,000",3,3,"2,173",Sold 09/28/2021
"197 Haynes Park Dr, Nashville, TN 37218","$333,500",3,2,"1,600",Sold 09/28/2021
"1830 25th Ave N, Nashville, TN 37208","$285,000",2,1,775,Sold 09/28/2021
"2223 24th Ave N #F, Nashville, TN 37208","$464,000",4,3,"1,981",Sold 09/27/2021
"2621 Coffenberry Ln LOT 145, Nashville, TN 37207","$335,150",4,3,"1,903",Sold 09/16/2021
"2633 Coffenberry Ln LOT 142, Nashville, TN 37207","$337,885",4,3,"1,680",Sold 09/16/2021
"2617 Coffenberry Ln LOT 146, Nashville, TN 37207","$329,925",4,3,"1,680",Sold 09/16/2021
"2625 Coffenberry Ln LOT 144, Nashville, TN 37207","$358,125",4,3,"1,903",Sold 09/16/2021
"1325 5th Ave N #4, Nashville, TN 37208","$426,000",2,2,816,Sold 09/16/2021
"2613 Coffenberry Ln LOT 147, Nashville, TN 37207","$382,470",4,3,"2,203",Sold 09/16/2021
"2605 Coffenberry Ln LOT 149, Nashville, TN 37207","$362,890",4,3,"2,203",Sold 09/16/2021
"2045 Westchester Dr, Nashville, TN 37207","$340,495",4,3,"1,903",Sold 09/16/2021
"2637 Coffenberry Ln LOT 141, Nashville, TN 37207","$373,775",4,3,"1,903",Sold 09/16/2021
"501 Cherry Grove Ln, Whites Creek, TN 37189","$47,500",--,--,--,Sold 09/07/2021
"1300 Aline Ave #A, Nashville, TN 37207","$215,000",2,1,960,Sold 09/07/2021
"1826 16th Ave N, Nashville, TN 37208","$320,500",2,1,828,Sold 09/07/2021
"729 Ringgold Dr, Nashville, TN 37207","$265,000",3,3,"1,500",Sold 09/07/2021
"3124 Moorewood Dr, Nashville, TN 37207","$259,000",3,2,"1,325",Sold 09/07/2021
"2313 Hockett Dr, Nashville, TN 37218","$400,000",3,2.5,"2,368",Sold 09/03/2021
"4208 Burton Hollow Rd, Whites Creek, TN 37189","$450,000",5,3,"3,275",Sold 09/03/2021
"2812 Stokers Ln N, Nashville, TN 37207","$364,000",3,3,"1,837",Sold 09/03/2021
"3244 Spears Rd, Nashville, TN 37207","$380,000",--,--,"1,430",Sold 09/02/2021
"4136 Home Haven Dr, Nashville, TN 37218","$350,000",3,2,"2,257",Sold 08/27/2021
"3802 Crouch Dr, Nashville, TN 37207","$311,000",3,2,"1,274",Sold 08/27/2021
"5145 Drakes Branch Rd, Nashville, TN 37218","$227,000",2,2,"1,831",Sold 08/27/2021
"3228 Mexico Dr, Nashville, TN 37218","$275,000",3,1,"2,050",Sold 08/26/2021
"3328 Chesapeake Cir, Nashville, TN 37207","$215,000",2,1,901,Sold 08/25/2021
"1705-1705A Cass St, Nashville, TN 37208","$549,900",4,3,"2,233",Sold 08/25/2021
"3857 Augusta Dr, Nashville, TN 37207","$310,000",3,1,"1,464",Sold 08/25/2021
"3712 Kings Ln, Nashville, TN 37218","$657,618",6,3,"3,019",Sold 08/25/2021
"6105 Beals Ln, Nashville, TN 37218","$588,900",3,2,"2,283",Sold 08/25/2021
"2002 Owen St, Nashville, TN 37208","$465,000",3,3,"1,900",Sold 08/13/2021
"1733 McKinney Ave, Nashville, TN 37208","$452,900",3,3,"1,820",Sold 08/13/2021
"1801 Glade St, Nashville, TN 37207","$455,000",3,3,"2,216",Sold 08/13/2021
"2636 Old Matthews Rd, Nashville, TN 37207","$319,000",4,2,"1,584",Sold 08/13/2021
"4156 Polk Forest Cir, Nashville, TN 37207","$239,900",3,2,"1,091",Sold 08/13/2021
"2009 Westchester Dr LOT 33, Nashville, TN 37207","$319,930",4,3,"1,680",Sold 08/12/2021
"1726 County Hospital Rd, Nashville, TN 37218","$197,500",2,2,"1,764",Sold 08/12/2021
"1818 12th Ave N, Nashville, TN 37208","$485,000",3,3,"1,726",Sold 08/12/2021
