Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"1009 W Eastland Ave, Nashville, TN 37206","$879,900",4,4,"3,116",Sold 10/13/2021
"2122 Bransford Ave, Nashville, TN 37204","$420,000",--,--,"1,216",Sold 10/13/2021
"485 Cathy Jo Cir, Nashville, TN 37211","$395,000",3,3,"1,681",Sold 10/13/2021
"1306 Pillow St #A, Nashville, TN 37203","$575,000",3,3,"1,504",Sold 10/13/2021
"1100 Matthews Pl #A, Nashville, TN 37206","$640,000",3,3,"2,376",Sold 10/13/2021
"43-43B Wharf Ave #B, Nashville, TN 37210","$189,000",1,1,522,Sold 10/12/2021
"2753 Windemere Dr, Nashville, TN 37214","$625,000",4,3,"3,232",Sold 10/06/2021
"2150-2150A Oakland St, Nashville, TN 37210","$505,000",3,3,"2,023",Sold 10/05/2021
"2309 Aubrey Dr, Nashville, TN 37214","$245,000",2,1,"1,233",Sold 10/05/2021
"315 Glenrose Ave, Nashville, TN 37210","$440,000",3,3,"1,826",Sold 10/05/2021
"114 Five Oaks Dr, Nashville, TN 37217","$207,000",2,2,"1,280",Sold 10/04/2021
"800 Woodland St APT 307, Nashville, TN 37206","$295,000",Studio,1,916,Sold 10/04/2021
"202 McCall St, Nashville, TN 37211","$635,000",4,3,"2,392",Sold 10/04/2021
"818 Patricia Dr, Nashville, TN 37217","$360,000",3,3,"2,050",Sold 10/04/2021
"404 Avondale Dr, Nashville, TN 37206","$494,000",3,2,"1,418",Sold 10/04/2021
"50 Waters Ave, Nashville, TN 37206","$500,000",3,4,"2,000",Sold 09/29/2021
"72-72A Nance Ln, Nashville, TN 37210","$425,000",2,3,"1,653",Sold 09/28/2021
"1806 Long Ave, Nashville, TN 37206","$611,000",3,2,"1,750",Sold 09/28/2021
"313 Rose St, Nashville, TN 37210","$210,000",2,1,"1,040",Sold 09/27/2021
"418 Hart Ave, Nashville, TN 37206","$464,000",3,2,"1,250",Sold 09/27/2021
"402 Hart Ave, Nashville, TN 37206","$770,000",4,3,"2,365",Sold 09/27/2021
"2242 Foster Ave, Nashville, TN 37210","$295,000",2,1,"1,200",Sold 09/27/2021
"728 Winthorne Dr, Nashville, TN 37217","$365,000",3,2,"2,244",Sold 09/27/2021
"106 Myrtle St #C, Nashville, TN 37206","$629,900",4,4,"1,913",Sold 09/24/2021
"103 Gale Park Ln, Nashville, TN 37204","$500,000",3,3,"1,404",Sold 09/20/2021
"1813 McEwen Ave, Nashville, TN 37206","$725,000",3,3,"2,518",Sold 09/20/2021
"400 Herron Dr #103, Nashville, TN 37210","$262,000",1,1,748,Sold 09/20/2021
"213 N 9th St #A, Nashville, TN 37206","$300,000",1,1,728,Sold 09/20/2021
"1803-1803B Sevier St, Nashville, TN 37206","$600,000",3,3,"1,642",Sold 09/17/2021
"203 Berry St, Nashville, TN 37207","$540,000",3,2,"1,466",Sold 09/17/2021
"210 Fall St, Nashville, TN 37206","$929,000",4,3,"2,782",Sold 09/17/2021
"2305 Brittany Dr, Nashville, TN 37206","$740,000",4,4,"2,626",Sold 09/17/2021
"613 Shady Ln, Nashville, TN 37206","$600,000",4,2,"2,322",Sold 09/17/2021
"2197 Nolensville Pike APT 129, Nashville, TN 37211","$188,000",1,1,579,Sold 09/13/2021
"2817 Dunmore Dr, Nashville, TN 37214","$290,000",4,2,"1,361",Sold 09/11/2021
"2710 Mashburn Rd, Nashville, TN 37210","$295,000",2,1,952,Sold 09/11/2021
"105 Claiborne St, Nashville, TN 37210","$173,000",3,1,"1,464",Sold 09/10/2021
"500 Lutie Ct #A, Nashville, TN 37210","$220,000",2,1,754,Sold 09/10/2021
"2600 Lawncrest Dr, Nashville, TN 37210","$496,848",5,3,"3,139",Sold 09/10/2021
"42 Trimble St, Nashville, TN 37210","$499,900",3,3,"2,157",Sold 09/10/2021
"704 Currey Rd, Nashville, TN 37217","$287,000",5,2,"3,193",Sold 09/10/2021
"2824 Colonial Cir, Nashville, TN 37214","$375,000",3,1,"1,300",Sold 09/10/2021
"511 McDonald Dr, Nashville, TN 37217","$453,000",4,3,"2,169",Sold 09/03/2021
"64 Lutie St, Nashville, TN 37210","$360,000",3,1,"1,148",Sold 09/02/2021
"2701 Meadow Rose Dr, Nashville, TN 37206","$640,000",4,3,"2,264",Sold 09/02/2021
"805 N 12th St #B, Nashville, TN 37206","$325,000",3,1,948,Sold 09/02/2021
"3505 Hewlett Dr, Nashville, TN 37211","$270,000",3,1,975,Sold 09/02/2021
"1416 Winthorne Dr, Nashville, TN 37217","$335,000",3,3,"1,875",Sold 09/02/2021
"2717 Eastland Ave, Nashville, TN 37206","$685,000",3,3,"2,158",Sold 09/02/2021
