Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"1212 Laurel St APT 1708, Nashville, TN 37203","$625,000",1,1,888,Sold 12/18/2021
"937 S Douglas Ave, Nashville, TN 37204","$810,000",4,1,"1,858",Sold 12/17/2021
,,,,,
"3206 Leawood Dr, Nashville, TN 37218","$207,500",3,1,972,Sold 12/17/2021
"117 Postwood Pl, Nashville, TN 37205","$727,500",4,4,"3,814",Sold 12/17/2021
"3800 Dakota Ave, Nashville, TN 37209","$952,000",3,3,"2,473",Sold 12/17/2021
"1905-1905B Formosa St, Nashville, TN 37208","$510,000",3,3,"1,851",Sold 12/17/2021
"4009 Elkins Aly, Nashville, TN 37209","$656,000",3,3,"2,117",Sold 12/17/2021
"3841 Whitland Ave, Nashville, TN 37205","$355,000",2,2,"1,100",Sold 12/17/2021
"172 Jefferson Sq, Nashville, TN 37215","$476,000",3,3,"2,223",Sold 12/17/2021
"3309 Golf Club Ln, Nashville, TN 37215","$375,000",2,3,"1,326",Sold 12/10/2021
"817-817B 31st Ave N, Nashville, TN 37209","$235,000",2,2,"1,152",Sold 12/10/2021
"2905 Parthenon Ave APT 108, Nashville, TN 37203","$500,000",2,3,"1,596",Sold 12/10/2021
"2235 Blair Blvd, Nashville, TN 37212","$675,000",3,2,"1,559",Sold 12/10/2021
"1612 12th Ave N, Nashville, TN 37208","$660,000",4,4,"2,464",Sold 12/10/2021
"700 12th Ave S UNIT 806, Nashville, TN 37203","$840,000",2,3,"1,620",Sold 12/10/2021
"900 20th Ave S APT 1106, Nashville, TN 37212","$615,000",1,1,"1,004",Sold 12/10/2021
"1529 Arthur Ave, Nashville, TN 37208","$724,900",4,3,"2,383",Sold 12/10/2021
"3600 Hillsboro Pike APT G13, Nashville, TN 37215","$166,500",1,1,600,Sold 12/10/2021
"3400 Woodhaven Dr, Nashville, TN 37204","$543,000",3,1,"1,363",Sold 12/07/2021
"3407 Springbrook Dr, Nashville, TN 37204","$510,000",2,1,967,Sold 12/07/2021
"2701 Sharondale Ct, Nashville, TN 37215","$560,000",2,1,851,Sold 12/07/2021
"2029 Lombardy Ave, Nashville, TN 37215","$450,000",3,2,"1,416",Sold 12/07/2021
"510 Basswood Ave APT 13, Nashville, TN 37209","$229,900",2,2,"1,154",Sold 12/07/2021
"405 Avoca St SUITE 5, Nashville, TN 37203","$920,000",4,3,"2,403",Sold 12/07/2021
"1628 54th Ave N, Nashville, TN 37209","$309,000",1,1,703,Sold 12/07/2021
"1101 18th Ave S APT 606, Nashville, TN 37212","$425,000",2,2,"1,255",Sold 12/06/2021
"668 Vernon Ave, Nashville, TN 37209","$307,000",3,3,"1,320",Sold 12/06/2021
"1212 Laurel St FLOOR 20-2006, Nashville, TN 37203","$685,000",1,1,841,Sold 12/02/2021
