Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"2359 Patrick Ave, Old Hickory, TN 37138","$309,900",3,3,"1,452",Sold 12/17/2021
"2200 Pennington Ave, Nashville, TN 37216","$619,900",3,4,"2,050",Sold 12/17/2021
,,,,,
"2204 Pennington Ave, Nashville, TN 37216","$609,900",3,4,"2,189",Sold 12/17/2021
"425 Emmitt Ave, Madison, TN 37115","$207,500",1,1,"1,650",Sold 12/17/2021
"325 Pullen Ave, Nashville, TN 37207","$499,000",3,2,"1,530",Sold 12/17/2021
"323 Forrest Park Rd APT 6-3, Madison, TN 37115","$144,900",2,2,"1,050",Sold 12/14/2021
"309 Tillman Ln, Nashville, TN 37206","$280,000",3,1,"1,274",Sold 12/14/2021
"4309 Gallatin Pike #D, Nashville, TN 37216","$750,000",4,4,"2,103",Sold 12/14/2021
"815 Marlin Pass, Madison, TN 37115","$325,000",4,2,"2,583",Sold 12/14/2021
"4309 Gallatin Pike #L, Nashville, TN 37216","$499,900",2,3,"1,146",Sold 12/14/2021
"2312 Dennywood Dr, Nashville, TN 37214","$305,000",--,--,"1,325",Sold 12/14/2021
"303 Nawakwa Trl, Madison, TN 37115","$450,000",4,3,"2,554",Sold 12/14/2021
"2245 Berrywood Rd, Nashville, TN 37216","$395,000",2,1,968,Sold 12/14/2021
"1668 Comanche Run, Madison, TN 37115","$377,000",4,3,"2,194",Sold 12/14/2021
"308 Lois Aly, Nashville, TN 37214","$603,000",4,4,"3,196",Sold 12/10/2021
"1507 Corder Dr #B, Nashville, TN 37206","$719,900",4,3,"2,634",Sold 12/09/2021
"319 Autumn Chase Dr, Nashville, TN 37214","$400,000",2,3,"2,150",Sold 12/09/2021
"1003 Granada Ave, Nashville, TN 37206","$475,000",3,2,"1,020",Sold 12/09/2021
"550 Pueblo Dr, Madison, TN 37115","$380,000",4,2,"2,302",Sold 12/09/2021
"500 Vantrease Rd, Madison, TN 37115","$483,000",3,3,"2,070",Sold 12/09/2021
"2909 Rich Acres Dr, Nashville, TN 37207","$410,000",4,2,"1,872",Sold 12/09/2021
"420 Walton Ln APT J46, Madison, TN 37115","$127,500",1,1,652,Sold 12/09/2021
"4309 Gallatin Pike #F, Nashville, TN 37216","$515,000",2,3,"1,126",Sold 12/08/2021
"322 Pullen Ave, Nashville, TN 37207","$480,000",3,2,"1,361",Sold 12/06/2021
"1802 Lischey Ave, Nashville, TN 37207","$410,000",3,2,"1,073",Sold 12/06/2021
"1315 Stainback Ave, Nashville, TN 37207","$699,900",4,4,"2,712",Sold 12/06/2021
"430 W Old Hickory Blvd, Madison, TN 37115","$341,500",3,2,"1,555",Sold 12/05/2021
"2351 Patrick Ave, Old Hickory, TN 37138","$293,700",3,3,"1,452",Sold 12/03/2021
"2306-2306A Barclay Dr, Nashville, TN 37206","$690,000",3,4,"2,640",Sold 12/03/2021
"2611-2611A Tiffany Dr #A, Nashville, TN 37206","$750,000",3,3,"2,436",Sold 12/03/2021
"2355 Patrick Ave, Old Hickory, TN 37138","$263,275",2,3,"1,123",Sold 12/03/2021
"2311 Hidden Terrace Ct, Nashville, TN 37216","$724,900",4,3,"2,408",Sold 12/03/2021
"1416-1416A Huffine St, Nashville, TN 37216","$590,000",4,4,"2,457",Sold 11/30/2021
"1085 Whites Creek Pike, Nashville, TN 37207","$768,500",3,3,"1,965",Sold 11/30/2021
"1802-1802A Tammany Dr, Nashville, TN 37216","$619,000",3,3,"2,322",Sold 11/30/2021
"1300 Riverside Dr, Nashville, TN 37206","$665,000",3,4,"1,869",Sold 11/30/2021
"1033 Westchester Dr, Madison, TN 37115","$213,000",3,1,"1,000",Sold 11/30/2021
"2418 McGinnis Dr, Nashville, TN 37216","$540,000",4,2,"2,448",Sold 11/30/2021
"1112 Inglewood Dr, Nashville, TN 37216","$535,000",4,2,"1,841",Sold 11/30/2021
"2806 Meadow Rose Dr, Nashville, TN 37206","$470,000",3,1,"1,540",Sold 11/30/2021
"312 Marshall St, Nashville, TN 37207","$370,000",2,1,830,Sold 11/30/2021
"919 Carolyn Ave, Nashville, TN 37216","$800,000",4,2,"2,547",Sold 11/23/2021
"1529 Wayne Dr, Nashville, TN 37206","$805,000",4,3,"2,251",Sold 11/23/2021
"1417-1417B Meridian St #B, Nashville, TN 37207","$636,676",4,4,"2,404",Sold 11/23/2021
"2417 Carter Ave, Nashville, TN 37206","$567,500",4,2,"2,104",Sold 11/23/2021
"2530 Stinson Rd, Nashville, TN 37214","$401,000",3,2,"2,118",Sold 11/23/2021
"804 River Pass, Madison, TN 37115","$430,000",3,2,"1,588",Sold 11/23/2021
"2512 Barclay Dr, Nashville, TN 37206","$520,000",3,2,"1,808",Sold 11/23/2021
"901 Gwynn Dr, Nashville, TN 37216","$475,000",3,2,"1,384",Sold 11/23/2021
"785 Matthews Ave, Nashville, TN 37216","$446,954",3,2,"1,478",Sold 11/22/2021
"314 Harrington Ave, Madison, TN 37115","$203,500",2,1,884,Sold 11/18/2021
"902 Mitchell Rd, Nashville, TN 37206","$470,000",3,3,"1,644",Sold 11/18/2021
"1814 Meridian St, Nashville, TN 37207","$270,000",2,1,968,Sold 11/18/2021
"903 Chicamauga Ave, Nashville, TN 37206","$707,000",3,3,"1,600",Sold 11/18/2021
"1607 Russell St, Nashville, TN 37206","$475,000",3,2,"1,028",Sold 11/18/2021
"1109 Village Spring Dr, Nashville, TN 37207","$289,000",3,2,"1,128",Sold 11/18/2021
"1012 Mulberry Way, Nashville, TN 37207","$365,000",4,3,"2,092",Sold 11/18/2021
"2219 Berrywood Rd, Nashville, TN 37216","$459,000",3,3,"1,411",Sold 11/18/2021
"2608 Western Hills Dr, Nashville, TN 37214","$420,000",4,2,"1,800",Sold 11/18/2021
"1019 Maplewood Pl, Nashville, TN 37216","$599,500",4,3,"2,400",Sold 11/15/2021
"1355 Greenland Ave, Nashville, TN 37216","$440,000",2,1,"1,320",Sold 11/15/2021
"102 Gibson Dr, Madison, TN 37115","$435,000",3,2,"1,402",Sold 11/15/2021
"914 W Eastland Ave, Nashville, TN 37206","$576,000",3,2,"1,803",Sold 11/15/2021
"723 N 9th St, Nashville, TN 37206","$504,700",3,2,"1,350",Sold 11/15/2021
"4417 Saunders Ave, Nashville, TN 37216","$550,000",4,2,"3,013",Sold 11/15/2021
"1802 Fatherland St, Nashville, TN 37206","$496,000",2,1,"1,020",Sold 11/15/2021
