Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"97 Paula Dr, Old Hickory, TN 37138","$328,500",3,2,"1,504",Sold 09/29/2021
"709 N Chestnut Ct, Hermitage, TN 37076","$406,000",3,3,"2,286",Sold 09/28/2021
"3319 Old Hickory Blvd UNIT 22, Old Hickory, TN 37138","$279,900",3,3,"1,641",Sold 09/27/2021
"1004 Williams Way, Old Hickory, TN 37138","$610,000",4,4,"3,700",Sold 09/27/2021
"5326 Southfork Blvd, Old Hickory, TN 37138","$307,250",3,2,"1,766",Sold 09/27/2021
"4544 Andrew Jackson Pkwy, Hermitage, TN 37076","$317,000",3,2,"1,540",Sold 09/26/2021
"930 Old Fountain Pl, Hermitage, TN 37076","$210,000",2,2,"1,521",Sold 09/15/2021
"1461 Aaronwood Dr, Old Hickory, TN 37138","$379,000",3,2,"1,612",Sold 09/15/2021
"4828 Leesa Ann Ln, Hermitage, TN 37076","$265,000",3,2,"1,026",Sold 09/14/2021
"600 Hardin Shire Dr, Old Hickory, TN 37138","$303,800",3,2.5,"1,526",Sold 09/14/2021
"107 Lynn Lee Dr, Old Hickory, TN 37138","$399,900",4,3,"2,626",Sold 09/13/2021
"4585 Woodside Cir, Old Hickory, TN 37138","$299,999",3,2,"1,208",Sold 09/13/2021
"412 N Cameron Ct, Hermitage, TN 37076","$348,000",4,2,"1,845",Sold 09/13/2021
"777 Jaywood Dr, Old Hickory, TN 37138","$366,838",3,2,"1,712",Sold 09/10/2021
"8416 Terry Ln, Hermitage, TN 37076","$337,000",3,2,"1,875",Sold 09/10/2021
"2608 Elliott Dr, Old Hickory, TN 37138","$290,000",4,3,"1,540",Sold 08/25/2021
"4813 Big Horn Dr, Old Hickory, TN 37138","$275,000",3,1,"1,408",Sold 08/25/2021
"425 Scotts Creek Trl, Hermitage, TN 37076","$264,000",2,2,"1,136",Sold 08/25/2021
"3908 Bonnavista Dr, Hermitage, TN 37076","$298,500",3,2,"1,408",Sold 08/24/2021
"5007 Bonnavista Dr, Hermitage, TN 37076","$310,000",3,2,"1,800",Sold 08/23/2021
