Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"1906 Boxelder Aly, Hermitage, TN 37076","$221,000",2,3,"1,216",Sold 03/07/2019
"5148 Roxborough Dr, Hermitage, TN 37076","$205,000",4,2,"2,172",Sold 08/27/2021
,,,,,
"775 Evening Ave, Antioch, TN 37013","$309,993",3,2,"2,220",Sold 06/20/2019
"327-327B Duke St, Nashville, TN 37207","$310,000",3,3,"1,854",Sold 01/18/2019
"3020 Louise Dr, Nashville, TN 37211","$107,500",3,3,"2,508",Sold 12/26/2019
"5025 Hillsboro Pike APT 24R, Nashville, TN 37215","$153,000",1,1,771,Sold 04/08/2019
"4607 Medora St, Nashville, TN 37216","$360,000",3,2,"1,795",Sold 08/27/2021
"2419 McGinnis Dr, Nashville, TN 37216","$345,000",3,1,"1,411",Sold 09/01/2021
"2001 Convent Pl APT 13, Nashville, TN 37212","$699,900",4,4,"1,952",Sold 12/20/2019
"4009 Elkins Aly, Nashville, TN 37209","$656,000",3,3,"2,117",Sold 12/17/2021
"508 Dupont Ave, Madison, TN 37115","$371,000",3,2,"1,656",Sold 12/10/2021
"136 Dodge Dr, Nashville, TN 37210","$300,900",2,1,975,Sold 08/27/2021
"941 W Greenwood Ave, Nashville, TN 37206","$391,000",3,2,"1,805",Sold 12/17/2021
"7423 Indian Creek Rd, Nashville, TN 37209","$734,900",3,2,"2,461",Sold 12/10/2021
"5846 Merrimac Ct, Nashville, TN 37215",$1.00M,4,2,"3,379",Sold 03/12/2021
"2212 Tyne Blvd, Nashville, TN 37215",$2.85M,5,6,"5,217",Sold 11/16/2021
"2115 Yeaman Pl APT 413, Nashville, TN 37206","$237,500",1,1,730,Sold 12/14/2020
"318 Lakebrink Dr, Nashville, TN 37214","$219,000",2,2,"1,156",Sold 12/16/2021
"5324 Eulala Dr, Nashville, TN 37211","$325,900",3,2,"1,881",Sold 05/18/2021
"5161 Ridge Hill Dr, Joelton, TN 37080","$160,000",4,2,"1,980",Sold 05/11/2021
"208 Hermitage Point Dr, Hermitage, TN 37076","$470,000",3,3,"2,198",Sold 12/16/2021
"156 Rains Ave, Nashville, TN 37203","$649,900",3,3,"2,387",Sold 10/19/2021
"722 Ridgeview Ct, Antioch, TN 37013","$120,000",2,2,"1,045",Sold 07/01/2021
"816 Gwynn Dr, Nashville, TN 37216","$685,000",3,2,"2,464",Sold 12/15/2021
"2311 Ilolo St, Nashville, TN 37207","$539,900",3,3,"1,936",Sold 12/17/2021
"1625 Alayna Dr, Nashville, TN 37221","$456,216",3,3,"2,934",Sold 12/13/2019
"2164 Freeman Ln, Madison, TN 37115","$403,000",3,3,"2,302",Sold 12/15/2021
