SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-20-2021,Single Family Residential,627 Skyview Dr,Nashville,TN,37206,400000,3,1.0,Rolling Acres,1704,11325,1945,,235,,Sold,,,https://www.redfin.com/TN/Nashville/627-Skyview-Dr-37206/home/108124220,REALTRACS,2231104,N,Y,36.1800263,-86.7314414
PAST SALE,May-12-2021,Single Family Residential,1613 Jacksons Valley Pl,Hermitage,TN,37076,361000,3,2.0,Ridgemere,1895,16117,1992,,191,,Sold,,,https://www.redfin.com/TN/Hermitage/1613-Jacksons-Valley-Pl-37076/home/107977773,REALTRACS,2243115,N,Y,36.188682,-86.6039739
PAST SALE,June-3-2021,Single Family Residential,2076 Stanford Village Dr,Antioch,TN,37013,336000,3,2.5,Stanford Village,1641,9147,2001,,205,25,Sold,,,https://www.redfin.com/TN/Antioch/2076-Stanford-Village-Dr-37013/home/108098604,REALTRACS,2249303,N,Y,36.0215742,-86.6890057
PAST SALE,June-21-2021,Single Family Residential,1827 Cephas St,Nashville,TN,37208,460000,3,2.0,Cephas Woodard,1779,5662,2017,,259,,Sold,,,https://www.redfin.com/TN/Nashville/1827-Cephas-St-37208/home/87804189,REALTRACS,2253455,N,Y,36.1820588,-86.8065578
PAST SALE,August-5-2021,Single Family Residential,7620 Staffordshire Dr,Nashville,TN,37221,475000,3,2.5,Sheffield On The Harpeth,1843,11325,1987,,258,75,Sold,,,https://www.redfin.com/TN/Nashville/7620-Staffordshire-Dr-37221/home/60866359,REALTRACS,2267139,N,Y,36.0640803,-86.9716672
PAST SALE,August-20-2021,Single Family Residential,189 53rd Ave N,Nashville,TN,37209,425000,2,1.0,Sylvan Park,993,6098,1963,,428,,Sold,,,https://www.redfin.com/TN/Nashville/189-53rd-Ave-N-37209/home/87805309,REALTRACS,2279517,N,Y,36.1453429,-86.8510314
PAST SALE,July-9-2021,Single Family Residential,159 Tusculum Rd,Antioch,TN,37013,250000,2,1.0,Colemont,1024,15681,1940,,244,,Sold,,,https://www.redfin.com/TN/Antioch/159-Tusculum-Rd-37013/home/107991062,REALTRACS,2253578,N,Y,36.0535182,-86.6911305
PAST SALE,February-23-2021,Single Family Residential,1414 Timber Valley Dr,Nashville,TN,37214,230000,5,2.0,Percy Priest Woods,1872,4791,1984,,123,,Sold,,,https://www.redfin.com/TN/Nashville/1414-Timber-Valley-Dr-37214/home/108053303,REALTRACS,2223439,N,Y,36.1291096,-86.6377663
PAST SALE,,Single Family Residential,518 E Maple St,Madison,TN,37115,184830,2,1.0,,757,9148,1935,,244,,,,,https://www.redfin.com/TN/Madison/518-E-Maple-St-37115/home/60735994,,,N,Y,36.26124,-86.7020859
PAST SALE,August-27-2021,Single Family Residential,702 Ries Ave,Nashville,TN,37209,325000,3,1.0,Moss Wood,912,8276,1960,,356,,Sold,,,https://www.redfin.com/TN/Nashville/702-Ries-Ave-37209/home/101096944,REALTRACS,2277242,N,Y,36.1602809,-86.8727828
