SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-29-2020,Single Family Residential,2328 Forest Lake Dr,Nashville,TN,37211,449900,4,3.5,Highland Creek,3243,7405,2017,,139,25,Sold,,,https://www.redfin.com/TN/Nashville/2328-Forest-Lake-Dr-37211/home/113885899,REALTRACS,2142920,N,Y,36.0177767,-86.7156143
PAST SALE,April-9-2019,Single Family Residential,413 Jameswood Ct,Hermitage,TN,37076,283000,3,2.0,Brookside Woods,1872,7840,2002,,151,13,Sold,,,https://www.redfin.com/TN/Hermitage/413-Jameswood-Ct-37076/home/68853040,REALTRACS,2017500,N,Y,36.2012351,-86.5977682
PAST SALE,August-2-2019,Single Family Residential,7557 Watervale Dr,Nashville,TN,37221,350000,4,2.5,Riverwalk,2361,7840,2010,,148,67,Sold,,,https://www.redfin.com/TN/Nashville/7557-Watervale-Dr-37221/home/108050435,REALTRACS,2049699,N,Y,36.0921029,-87.001327
PAST SALE,December-20-2019,Single Family Residential,1914 Scott Ave,Nashville,TN,37206,323000,3,2.0,Belle Forest,1106,7840,1992,,292,,Sold,,,https://www.redfin.com/TN/Nashville/1914-Scott-Ave-37206/home/108012922,REALTRACS,2094384,N,Y,36.1934547,-86.7332682
PAST SALE,December-6-2019,Single Family Residential,709 Cleves St,Old Hickory,TN,37138,190000,2,1.0,Village Of Old Hickory,866,,1928,,219,,Sold,,,https://www.redfin.com/TN/Old-Hickory/709-Cleves-St-37138/home/60792755,REALTRACS,2097045,N,Y,36.2632645,-86.6460141
PAST SALE,August-23-2019,Single Family Residential,144 Tulip Grove Pt,Hermitage,TN,37076,335000,4,3.5,Tulip Grove Pointe,2438,4356,2015,,137,30,Sold,,,https://www.redfin.com/TN/Hermitage/144-Tulip-Grove-Pt-37076/home/60710016,REALTRACS,2056102,N,Y,36.1809265,-86.5971377
PAST SALE,August-29-2019,Single Family Residential,2229 Seven Points Cir,Hermitage,TN,37076,422000,4,3.0,Meadows Of Seven Points,3079,14810,2006,,137,17,Sold,,,https://www.redfin.com/TN/Hermitage/2229-Seven-Points-Cir-37076/home/108017300,REALTRACS,2059691,N,Y,36.1483439,-86.5738862
PAST SALE,June-14-2019,Single Family Residential,2956 Primrose Cir,Nashville,TN,37212,395000,3,2.0,Belmont Terrace Annex,1632,9147,1941,,242,,Sold,,,https://www.redfin.com/TN/Nashville/2956-Primrose-Cir-37212/home/68845606,REALTRACS,2014542,N,Y,36.1211656,-86.8024771
PAST SALE,June-21-2019,Single Family Residential,2805 Hydes Ferry Rd,Nashville,TN,37218,210000,3,2.5,River Meadows,1320,7405,2001,,159,,Sold,,,https://www.redfin.com/TN/Nashville/2805-Hydes-Ferry-Rd-37218/home/107978862,REALTRACS,2035236,N,Y,36.1802903,-86.8345939
PAST SALE,February-21-2020,Single Family Residential,1004 Thyme Ct,Brentwood,TN,37027,440000,3,2.0,Hearthstone,1919,20473,1988,,229,13,Sold,,,https://www.redfin.com/TN/Brentwood/1004-Thyme-Ct-37027/home/107985763,REALTRACS,2115537,N,Y,36.0445179,-86.7633788
PAST SALE,September-27-2019,Single Family Residential,6176 Brentwood Chase Dr,Brentwood,TN,37027,425000,3,2.5,Brentwood Chase,2180,6969,2003,,195,80,Sold,,,https://www.redfin.com/TN/Brentwood/6176-Brentwood-Chase-Dr-37027/home/108056665,REALTRACS,2066487,N,Y,36.0403935,-86.7599621
PAST SALE,September-10-2019,Townhouse,131 Jefferson Sq,Nashville,TN,37215,425000,3,3.5,Jefferson Square,2460,,1974,,173,340,Sold,,,https://www.redfin.com/TN/Nashville/131-Jefferson-Sq-37215/home/85696392,REALTRACS,2059974,N,Y,36.096462,-86.82646
PAST SALE,March-20-2019,Single Family Residential,4828 Medalist Cir,Hermitage,TN,37076,430000,4,2.5,The Reserve At Stone Hall,2866,8276,2015,,150,63,Sold,,,https://www.redfin.com/TN/Hermitage/4828-Medalist-Cir-37076/home/60718257,REALTRACS,2000179,N,Y,36.1925087,-86.6368412
PAST SALE,May-16-2019,Single Family Residential,6033 Ridge Farm Pl,Brentwood,TN,37027,450000,5,3.0,Brelan Park At Saddlewood,3430,12632,1995,,131,6,Sold,,,https://www.redfin.com/TN/Brentwood/6033-Ridge-Farm-Pl-37027/home/68789440,REALTRACS,2026938,N,Y,36.0243235,-86.757527
PAST SALE,January-18-2019,Single Family Residential,336 Red Feather Ln,Brentwood,TN,37027,440000,3,2.0,Oakmont,2842,13068,2001,,155,35,Sold,,,https://www.redfin.com/TN/Brentwood/336-Red-Feather-Ln-37027/home/95469110,REALTRACS,1989844,N,Y,36.0266673,-86.7475134
PAST SALE,April-12-2019,Single Family Residential,2112 Jade Dr,Nashville,TN,37210,376000,3,2.5,Elm Hill Acres,1734,15681,2016,,217,,Sold,,,https://www.redfin.com/TN/Nashville/2112-Jade-Dr-37210/home/102518694,REALTRACS,2019955,N,Y,36.1520744,-86.6975555
PAST SALE,July-10-2019,Single Family Residential,59 Valeria St,Nashville,TN,37210,260000,3,2.0,Sterling Heights,2186,11761,1949,,119,,Sold,,,https://www.redfin.com/TN/Nashville/59-Valeria-St-37210/home/108006594,REALTRACS,2043594,N,Y,36.1203544,-86.7352329
PAST SALE,February-6-2020,Single Family Residential,4053 Barnes Cove Dr,Antioch,TN,37013,335000,4,2.5,Barnes Cove,2500,8712,2005,,134,20,Sold,,,https://www.redfin.com/TN/Antioch/4053-Barnes-Cove-Dr-37013/home/101834945,REALTRACS,2103357,N,Y,36.0269943,-86.7027066
PAST SALE,August-9-2019,Single Family Residential,6912 Sunnywood Dr,Nashville,TN,37211,358000,3,2.5,Lenox Village,2366,6098,2004,,151,46,Sold,,,https://www.redfin.com/TN/Nashville/6912-Sunnywood-Dr-37211/home/108017231,REALTRACS,2058889,N,Y,36.0164623,-86.7010552
PAST SALE,,Single Family Residential,6232 Palomar Ct,Nashville,TN,37211,485000,4,2.5,,2840,13504,2001,,171,,,,,https://www.redfin.com/TN/Nashville/6232-Palomar-Ct-37211/home/105588461,,,N,Y,36.0251767,-86.7333468
